
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000089                       # Number of seconds simulated (Second)
system.cpu.statIssuedInstType_0::SimdSha256Hash            0      0.00%     97.97% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     97.97% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma2            0      0.00%     97.97% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma3            0      0.00%     97.97% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdPredAlu            0      0.00%     97.97% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemRead         3192      1.12%     99.10% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemWrite         1967      0.69%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemRead           82      0.03%     99.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemWrite          519      0.18%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total         284096                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         1.590647                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                               35242                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.124050                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                   755475                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                  529084                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses          281124                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                      2732                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                     1522                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses             1333                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                      317236                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                         1379                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numInsts                            283185                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                          3102                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                       911                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                               5507                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                          27712                       # Number of branches executed (Count)
